Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
13.971,3.131,3.298,10.327,30.10,2294.46,22.97
21.714,3.168,3.298,10.448,30.05,2294.46,22.97
29.606,3.202,3.298,10.561,30.00,2294.46,22.98
36.574,3.227,3.298,10.644,29.95,2294.45,22.98
43.531,3.250,3.298,10.720,29.95,2294.46,22.96
50.521,3.273,3.298,10.795,29.95,2294.46,22.95
57.473,3.291,3.298,10.856,29.95,2294.46,22.97
64.360,3.310,3.298,10.916,29.95,2294.46,22.97
71.317,3.326,3.298,10.969,29.95,2294.45,22.96
78.276,3.342,3.298,11.022,30.00,2294.45,23.00
85.229,3.358,3.298,11.074,29.95,2294.45,22.98
92.224,3.371,3.298,11.120,29.95,2294.46,23.00
99.120,3.385,3.298,11.165,29.95,2294.45,22.97
106.086,3.397,3.298,11.203,29.95,2294.46,22.98
113.072,3.410,3.298,11.248,29.95,2294.45,22.95
119.981,3.422,3.298,11.286,29.95,2294.46,22.96
126.995,3.433,3.298,11.324,29.95,2294.45,22.95
133.890,3.442,3.298,11.354,29.95,2294.45,22.96
140.880,3.454,3.298,11.392,29.95,2294.47,22.99
147.856,3.463,3.298,11.422,29.95,2294.45,23.00
154.769,3.472,3.298,11.452,29.95,2294.45,23.01
161.707,3.481,3.298,11.482,29.90,2294.46,22.97
168.647,3.490,3.298,11.512,29.85,2294.46,22.97
175.622,3.500,3.298,11.543,29.90,2294.46,22.98
182.559,3.509,3.298,11.573,29.95,2294.47,22.98
189.538,3.516,3.298,11.595,30.00,2294.44,22.94
196.478,3.525,3.298,11.626,30.00,2294.47,22.95
203.419,3.532,3.298,11.648,30.00,2294.46,22.96
210.349,3.539,3.298,11.671,30.05,2294.47,22.96
217.322,3.545,3.298,11.693,30.05,2294.45,22.95
224.266,3.552,3.298,11.716,30.05,2294.46,22.97
231.231,3.559,3.296,11.731,30.10,2294.46,22.95
238.177,3.566,3.298,11.761,30.10,2294.46,22.94
245.173,3.573,3.298,11.784,30.10,2294.44,22.95
252.099,3.580,3.298,11.807,30.10,2294.46,22.97
259.021,3.584,3.298,11.822,30.10,2294.46,22.96
265.973,3.591,3.298,11.844,30.10,2294.46,22.96
272.963,3.596,3.298,11.860,30.05,2294.46,22.95
279.880,3.603,3.298,11.882,30.05,2294.46,22.98
286.871,3.607,3.298,11.897,30.00,2294.45,22.96
293.796,3.612,3.298,11.912,29.95,2294.46,22.95
300.744,3.616,3.298,11.928,29.95,2294.45,22.95
307.684,3.619,3.298,11.935,29.95,2294.47,22.96
314.673,3.621,3.298,11.943,29.95,2294.45,22.95
321.593,3.626,3.298,11.958,29.95,2294.47,22.96
328.589,3.628,3.298,11.965,29.95,2294.48,22.97
335.483,3.628,3.298,11.965,29.95,2294.46,22.96
342.462,3.630,3.298,11.973,29.95,2294.46,22.97
349.387,3.632,3.298,11.980,29.95,2294.46,22.93
356.355,3.632,3.298,11.980,29.95,2294.47,22.94
363.302,3.635,3.298,11.988,29.95,2294.47,22.97
371.238,3.637,3.298,11.995,29.95,2294.46,22.96
378.245,3.637,3.298,11.995,29.95,2294.44,22.98
385.205,3.639,3.298,12.003,30.00,2294.46,23.00
392.151,3.639,3.298,12.003,30.00,2294.46,22.97
399.109,3.642,3.298,12.011,29.95,2294.46,22.97
406.062,3.644,3.298,12.018,29.95,2294.45,22.97
412.973,3.644,3.298,12.018,29.95,2294.47,22.97
419.943,3.646,3.298,12.026,29.95,2294.46,22.97
426.867,3.646,3.298,12.026,29.95,2294.45,22.99
433.818,3.648,3.298,12.033,29.95,2294.46,22.99
440.786,3.651,3.298,12.041,29.95,2294.46,22.99
447.745,3.651,3.298,12.041,29.95,2294.45,22.98
454.673,3.653,3.298,12.048,29.95,2294.46,22.98
461.627,3.653,3.298,12.048,29.95,2294.45,22.99
468.567,3.655,3.298,12.056,30.00,2294.44,22.98
475.523,3.658,3.298,12.063,29.95,2294.46,22.99
