Time_s,Voltage_V,Current_A,Power_W,SOC_Percent,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
5.659,3.108,3.298,10.208,0.11,30.05,2289.24,21.53
14.033,3.152,3.298,10.346,0.26,30.05,2289.24,21.50
20.968,3.181,3.298,10.437,0.39,30.05,2289.24,21.49
27.955,3.209,3.298,10.529,0.52,30.05,2289.24,21.46
34.903,3.234,3.298,10.620,0.65,30.05,2289.25,21.47
41.857,3.257,3.298,10.666,0.79,30.05,2289.24,21.49
48.801,3.278,3.298,10.758,0.92,30.05,2289.24,21.49
55.754,3.296,3.298,10.803,1.05,30.00,2289.24,21.54
62.713,3.314,3.298,10.849,1.18,29.95,2289.24,21.55
69.659,3.330,3.298,10.941,1.31,29.85,2289.23,21.55
76.615,3.346,3.298,10.986,1.44,29.85,2289.24,21.52
83.610,3.360,3.298,11.032,1.57,29.85,2289.25,21.53
90.524,3.374,3.298,11.078,1.70,29.85,2289.24,21.54
99.467,3.392,3.298,11.124,1.87,29.90,2289.24,21.56
107.417,3.406,3.298,11.170,2.01,29.95,2289.26,21.56
114.363,3.417,3.298,11.215,2.14,29.95,2289.24,21.56
121.336,3.429,3.298,11.261,2.27,29.95,2289.25,21.57
128.288,3.438,3.298,11.261,2.40,30.00,2289.24,21.58
137.234,3.452,3.298,11.307,2.57,30.00,2289.25,21.57
145.200,3.463,3.298,11.353,2.72,30.00,2289.24,21.56
152.137,3.472,3.298,11.398,2.85,30.00,2289.26,21.55
159.098,3.481,3.298,11.444,2.98,30.00,2289.24,21.56
166.048,3.490,3.298,11.444,3.11,30.10,2289.24,21.53
175.010,3.502,3.298,11.490,3.28,30.10,2289.25,21.52
181.942,3.509,3.298,11.536,3.41,30.05,2289.24,21.52
188.905,3.518,3.298,11.536,3.54,30.05,2289.24,21.53
195.838,3.525,3.298,11.582,3.67,30.05,2289.25,21.55
204.784,3.534,3.298,11.582,3.84,30.05,2289.25,21.55
212.754,3.543,3.298,11.627,3.99,30.05,2289.24,21.55
219.710,3.550,3.298,11.627,4.12,30.05,2289.25,21.55
226.654,3.557,3.298,11.673,4.25,30.05,2289.25,21.54
