[EIS_Measurement_Information]
Measurement_Index=4
Timestamp=2026-01-15 20:48:29
Elapsed_Time_s=17547.5
Target_SOC_Percent=40.0
Actual_SOC_Percent=40.1
OCV_Voltage_V=3.6675
DTB_Temperature_C=30.0
TC0_Temperature_C=2289.2
TC1_Temperature_C=21.3
Retry_Count=0

[EIS_Configuration]
OCV_Duration_s=10.0
GEIS_Initial_Freq_Hz=10000
GEIS_Final_Freq_Hz=0.1
GEIS_Freq_Points=31
GEIS_Amplitude_A=0.500
GEIS_Average_N=2

[Impedance_Data]
# Frequency_Hz,Z_Real_Ohm,Z_Imag_Ohm,Z_Mag_Ohm,Phase_Deg
10002.2,0.043516,0.030629,0.053214,35.14
6811.1,0.042784,0.020996,0.047658,26.14
4641.5,0.042399,0.014206,0.044715,18.52
3161.0,0.042271,0.009624,0.043352,12.83
2155.7,0.042196,0.006388,0.042677,8.61
1468.6,0.042281,0.004050,0.042475,5.47
1000.3,0.042435,0.002753,0.042525,3.71
681.1,0.042525,0.001587,0.042555,2.14
464.0,0.042775,0.000867,0.042784,1.16
316.3,0.042990,0.000419,0.042992,0.56
215.3,0.043144,0.000155,0.043145,0.21
146.7,0.043289,0.000009,0.043289,0.01
100.0,0.043376,-0.000064,0.043376,-0.08
68.1,0.043436,-0.000072,0.043436,-0.10
46.4,0.043485,-0.000114,0.043485,-0.15
31.6,0.043532,-0.000101,0.043532,-0.13
21.6,0.043562,-0.000123,0.043562,-0.16
14.7,0.043582,-0.000122,0.043582,-0.16
10.0,0.043631,-0.000148,0.043631,-0.19
6.8,0.043671,-0.000174,0.043671,-0.23
4.7,0.043692,-0.000211,0.043693,-0.28
3.2,0.043733,-0.000255,0.043734,-0.33
2.2,0.043784,-0.000317,0.043786,-0.41
1.5,0.043852,-0.000375,0.043854,-0.49
1.0,0.043896,-0.000517,0.043899,-0.67
0.7,0.044075,-0.000611,0.044079,-0.79
0.5,0.044190,-0.000768,0.044196,-1.00
0.3,0.044438,-0.000830,0.044445,-1.07
0.2,0.044579,-0.000943,0.044589,-1.21
0.1,0.045322,-0.001805,0.045358,-2.28
