Time_s,Voltage_V,Current_A,Power_W,Capacity_mAh,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
13.387,3.843,4.999,19.210,6.97,30.00,2288.64,20.90
21.735,3.832,4.999,19.153,18.50,29.95,2288.63,20.93
28.626,3.822,4.999,19.107,28.13,29.95,2288.60,20.91
35.582,3.813,4.999,19.061,37.77,29.95,2288.61,20.93
42.519,3.809,4.999,19.039,47.42,29.95,2288.63,20.91
49.490,3.802,4.999,19.004,57.10,29.95,2288.62,20.90
56.437,3.797,4.999,18.981,66.74,29.95,2288.63,20.91
63.463,3.795,4.999,18.970,76.44,29.90,2288.61,20.90
70.380,3.790,4.999,18.947,86.10,29.90,2288.61,20.90
77.364,3.786,4.999,18.924,95.80,29.90,2288.63,20.92
84.306,3.783,4.999,18.913,105.42,29.85,2288.60,20.88
91.265,3.781,4.999,18.901,115.10,29.85,2288.61,20.86
98.245,3.779,4.999,18.890,124.73,29.90,2288.62,20.86
105.190,3.774,4.999,18.867,134.38,29.90,2288.61,20.86
112.139,3.774,4.999,18.867,144.03,30.00,2288.61,20.86
119.132,3.772,4.999,18.856,153.74,30.00,2288.60,20.84
126.088,3.770,4.999,18.844,163.39,30.00,2288.60,20.82
133.046,3.767,4.999,18.833,173.06,30.05,2288.60,20.84
139.952,3.767,4.999,18.833,182.70,30.05,2288.60,20.82
146.961,3.765,4.999,18.821,192.39,30.05,2288.60,20.86
153.856,3.763,4.999,18.810,202.02,30.05,2288.59,20.87
160.860,3.763,4.999,18.810,211.67,30.05,2288.61,20.90
167.741,3.761,4.999,18.798,221.30,30.05,2288.58,20.87
174.753,3.758,4.999,18.787,230.97,30.05,2288.59,20.86
181.704,3.758,4.999,18.787,240.62,30.05,2288.59,20.87
188.621,3.756,4.999,18.775,250.29,30.05,2288.59,20.86
195.611,3.756,4.999,18.775,259.96,30.10,2288.58,20.89
203.533,3.754,4.999,18.764,270.99,30.10,2288.60,20.86
210.525,3.751,4.999,18.753,280.64,30.10,2288.59,20.85
217.469,3.751,4.999,18.753,290.28,30.05,2288.59,20.87
224.441,3.749,4.999,18.741,299.98,29.95,2288.59,20.88
231.364,3.749,4.999,18.741,309.60,29.95,2288.59,20.88
238.285,3.747,4.999,18.730,319.24,29.95,2288.57,20.89
245.280,3.747,4.999,18.730,328.90,29.80,2288.58,20.90
252.272,3.745,4.999,18.718,338.61,29.80,2288.58,20.88
259.157,3.745,4.999,18.718,348.24,29.80,2288.59,20.87
266.170,3.742,4.999,18.707,357.90,29.80,2288.58,20.86
273.109,3.742,4.999,18.707,367.54,29.85,2288.58,20.87
280.084,3.742,4.999,18.707,377.24,29.90,2288.58,20.86
286.982,3.740,4.999,18.695,386.87,30.00,2288.59,20.87
293.937,3.740,4.999,18.695,396.50,30.05,2288.59,20.88
300.873,3.738,4.999,18.684,406.16,30.10,2288.58,20.87
307.823,3.738,4.999,18.684,415.80,30.15,2288.59,20.88
314.764,3.735,4.999,18.672,425.44,30.15,2288.60,20.88
321.734,3.735,4.999,18.672,435.12,30.15,2288.57,20.86
328.711,3.735,4.999,18.672,444.79,30.15,2288.59,20.84
335.710,3.733,4.999,18.661,454.45,30.15,2288.58,20.85
342.674,3.733,4.999,18.661,464.11,30.15,2288.59,20.89
349.604,3.731,4.999,18.650,473.76,30.10,2288.60,20.92
356.577,3.731,4.999,18.650,483.46,30.05,2288.60,20.90
363.503,3.729,4.999,18.638,493.11,29.95,2288.58,20.91
370.423,3.729,4.999,18.638,502.72,29.90,2288.59,20.87
377.409,3.729,4.999,18.638,512.42,29.95,2288.59,20.88
384.368,3.726,4.999,18.627,522.06,30.05,2288.59,20.89
391.297,3.726,4.999,18.627,531.71,30.05,2288.59,20.84
398.290,3.724,4.999,18.615,541.37,30.05,2288.58,20.87
405.210,3.724,4.999,18.615,551.04,30.10,2288.58,20.88
412.132,3.722,4.999,18.604,560.65,30.10,2288.59,20.87
419.130,3.722,4.999,18.604,570.37,30.15,2288.59,20.86
426.055,3.722,4.999,18.604,579.99,30.10,2288.59,20.86
433.067,3.719,4.999,18.592,589.70,30.10,2288.59,20.85
439.980,3.719,4.999,18.592,599.32,30.10,2288.59,20.83
446.947,3.717,4.999,18.581,608.97,30.10,2288.59,20.83
453.871,3.717,4.999,18.581,618.60,30.10,2288.60,20.81
461.893,3.715,4.999,18.569,629.69,30.15,2288.61,20.83
468.807,3.715,4.999,18.569,639.32,30.15,2288.59,20.81
475.744,3.712,4.999,18.558,648.95,30.15,2288.59,20.80
482.730,3.712,4.999,18.558,658.63,30.15,2288.60,20.81
490.652,3.710,4.999,18.547,669.67,30.15,2288.60,20.80
498.626,3.710,4.999,18.547,680.69,30.10,2288.60,20.81
505.580,3.708,4.999,18.535,690.34,30.00,2288.61,20.83
512.552,3.708,4.999,18.535,700.02,29.95,2288.60,20.82
519.519,3.706,4.999,18.524,709.71,29.95,2288.61,20.80
526.436,3.706,4.999,18.524,719.33,29.95,2288.62,20.79
533.379,3.703,4.999,18.512,728.98,30.00,2288.62,20.80
540.335,3.703,4.999,18.512,738.67,30.00,2288.63,20.82
547.323,3.701,4.999,18.501,748.31,30.00,2288.64,20.81
554.234,3.701,4.999,18.501,757.97,30.00,2288.63,20.82
561.197,3.699,4.999,18.489,767.64,30.00,2288.63,20.84
568.225,3.699,4.999,18.489,777.34,29.90,2288.64,20.86
575.151,3.696,4.999,18.478,786.96,29.90,2288.65,20.84
582.087,3.694,4.999,18.467,796.63,29.95,2288.66,20.84
589.030,3.694,4.999,18.467,806.27,30.05,2288.65,20.83
596.974,3.692,4.999,18.455,817.32,30.10,2288.66,20.83
603.968,3.690,4.999,18.444,826.97,30.10,2288.68,20.85
610.912,3.690,4.999,18.444,836.61,30.15,2288.65,20.83
617.919,3.687,4.999,18.432,846.33,30.15,2288.68,20.84
624.865,3.685,4.999,18.421,855.99,30.15,2288.69,20.83
631.791,3.685,4.999,18.421,865.60,30.15,2288.69,20.83
638.742,3.683,4.999,18.409,875.26,30.25,2288.68,20.84
645.691,3.680,4.999,18.398,884.89,30.25,2288.69,20.83
652.620,3.678,4.999,18.386,894.57,30.25,2288.68,20.81
659.602,3.678,4.999,18.386,904.25,30.25,2288.71,20.83
666.524,3.676,4.999,18.375,913.86,30.20,2288.70,20.84
673.518,3.674,4.999,18.364,923.53,30.10,2288.71,20.83
680.458,3.671,4.999,18.352,933.17,30.10,2288.70,20.81
688.408,3.669,4.999,18.341,944.21,30.10,2288.73,20.81
695.351,3.667,4.999,18.329,953.86,30.10,2288.72,20.83
702.315,3.664,4.999,18.318,963.53,30.15,2288.72,20.84
709.241,3.662,4.999,18.306,973.21,30.15,2288.74,20.85
716.189,3.660,4.999,18.295,982.84,30.15,2288.73,20.87
723.150,3.658,4.999,18.283,992.52,30.10,2288.75,20.84
731.106,3.655,4.999,18.272,1003.55,30.10,2288.74,20.83
739.068,3.653,4.999,18.261,1014.59,30.15,2288.75,20.83
746.017,3.651,4.999,18.249,1024.26,30.15,2288.75,20.87
753.024,3.646,4.999,18.226,1033.93,30.15,2288.76,20.84
759.904,3.644,4.999,18.215,1043.56,30.10,2288.76,20.84
766.862,3.642,4.999,18.203,1053.20,30.05,2288.77,20.84
773.846,3.639,4.999,18.192,1062.86,30.05,2288.78,20.86
780.766,3.637,4.999,18.180,1072.52,30.05,2288.78,20.86
787.745,3.635,4.999,18.169,1082.16,30.05,2288.80,20.86
794.738,3.632,4.999,18.158,1091.87,30.05,2288.79,20.85
801.638,3.630,4.999,18.146,1101.48,30.05,2288.79,20.85
808.589,3.626,4.999,18.123,1111.16,30.10,2288.79,20.84
815.518,3.623,4.999,18.112,1120.78,30.10,2288.81,20.83
822.501,3.621,4.999,18.100,1130.47,30.15,2288.80,20.85
829.412,3.619,4.999,18.089,1140.07,30.15,2288.82,20.86
836.426,3.616,4.999,18.078,1149.75,30.15,2288.82,20.85
843.368,3.614,4.999,18.066,1159.39,30.15,2288.82,20.84
850.325,3.612,4.999,18.055,1169.08,30.15,2288.82,20.86
857.229,3.609,4.999,18.043,1178.70,30.15,2288.84,20.87
865.232,3.607,4.999,18.032,1189.75,30.15,2288.85,20.86
872.224,3.605,4.999,18.020,1199.45,30.10,2288.86,20.85
880.141,3.600,4.999,17.997,1210.50,30.10,2288.86,20.88
888.117,3.598,4.999,17.986,1221.47,30.10,2288.87,20.85
895.037,3.596,4.999,17.975,1231.14,30.05,2288.86,20.85
